                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2965,                 2.0273,                 1.2591,                0.64343,                0.70868,                0.70049,                0.45713,                 1.2352,                 1.7036,                 1.2503,             0.00033244,             0.00033244,             0.00033244
                      2,                 1.1991,                 1.2593,                 1.1714,                0.69067,                0.70352,                0.73083,                0.48968,                 1.1881,                 1.5683,                 1.2454,             0.00059987,             0.00059987,             0.00059987
                      3,                 1.1913,                 1.1106,                 1.1673,                0.72383,                0.75577,                0.72752,                0.49247,                 1.1251,                 1.2743,                 1.1992,             0.00080129,             0.00080129,             0.00080129
                      4,                 1.1576,                0.99676,                 1.1485,                0.76206,                0.75539,                0.74432,                0.51487,                 1.0929,                 1.0855,                 1.1653,               0.000703,               0.000703,               0.000703
                      5,                 1.1247,                0.91022,                 1.1219,                0.69878,                0.77991,                0.76094,                0.50953,                  1.081,                 1.0195,                 1.1595,               0.000703,               0.000703,               0.000703
                      6,                 1.0987,                0.85596,                 1.1055,                0.75532,                0.80376,                0.78096,                0.53159,                 1.0751,                0.95456,                 1.1491,               0.000604,               0.000604,               0.000604
                      7,                 1.0635,                0.78598,                  1.086,                 0.7462,                0.77585,                0.77109,                0.54585,                 1.0447,                0.88842,                 1.1182,               0.000505,               0.000505,               0.000505
                      8,                 1.0415,                0.73696,                 1.0723,                0.73553,                0.82281,                0.77942,                0.55777,                 1.0075,                 0.8189,                  1.104,               0.000406,               0.000406,               0.000406
                      9,                 1.0075,                0.69426,                 1.0552,                 0.7174,                0.82178,                0.78794,                0.56458,                0.98148,                0.78411,                 1.0696,               0.000307,               0.000307,               0.000307
                     10,                0.98555,                0.65845,                 1.0411,                0.70485,                0.82676,                0.78578,                0.56616,                0.95902,                0.76364,                 1.0604,               0.000208,               0.000208,               0.000208
